artist,lyrics,song,album,releaseyear
Skillz,"(We got Skillz),[Skillz],Aight, it's time to get in,Now where should I begin?,To run back the ratchetness to 2010,Profound Sounds, ya'll cut the track up,I'ma get it in, this the 2010 Rap Up!,Now Waka Flocka went hard and got shot in the paint,Kelis went a little harder, took Nas to the bank,All that bread on the monthly, son that's crazy,Did I mention the fact she only had one baby?,Then the quake hit Haiti and left us in awe,So pray for them and pray you never see the things they saw,We Are The World got made just to donate bucks,No ""I"" in we though, I just think we f-cked that up,Sade came back and blessed the world with a gift,John Mayer went there and let the N-word slip,And Yung Berg got robbed by his peers,It's not '09 though, he just seems to do that every year,50 Cent tried to take out Ross,Look like it ain't work Fif, you might have to take that loss,Rozay, he had some heat,Had everybody from the 'burbs thinking they was Big Meech,Ross had a good year, that's fact,But him bagging Stacey Dash?,Mmm, I don't know 'bout that,Now I might sound thirsty,But Erykah Badu's video? Wooh, Lord have mercy,And I don't mean to sound foul,But if I could hit that, I'd dress up like a clown right now,So don't tempt me,And nobody had one,But we was rapping 'bout Beamer, Benz and Bentleys,Mel Gibson, Spazzed out for real,Idiots of the year? BP, for the oil spill,And Wayne went to jail for his gat,They said he had a music player, where he hide that at?,No matter where you looked, it was hard to miss Drake,But easy to miss 50 when he lost that weight,LeBron made a decision, that move was bold,But he had to take the heat once the Heat got cold,Hey Cleveland, I'll holler,'Bron's the reason a hot dog in Cleveland will cost ya 84 dollars,The iPhone prototype, that got jacked,Shout to rappers that was dumb enough to touch Kat Stacks,I know what you thinking kid,And no, I didn't touch her, but I know a lot of rappers that did,Kanye had Twitter going nuts,Man y'all funny, since when you cared about the World Cup?,Facebook, talk of the town,And don't lie, you know you was crying right along with Chris Brown,But in the new year, what I don't wanna see,Is Montana Fishburne or a movie in 3D,And Swizz wifed Alicia Keys,The volcano cloud had me and Jazzy Jeff stuck overseas,And rappers, they weren't exciting,But I'd hate to see your parents if you came out looking like 50 Tyson,And Antoine Dodson, that was that was just trife,With all that ""Hide ya kids and hide ya wife"",Man, the industry sucks,Cause we started off laughing at both of them,But now they laughing at us,I'm just asking,How Lady Gaga can wear some raw meat?,But y'all call that fashion,And Fantasia, she went the suicide route,Oh, you gon kill yourself? Before your album come out?,Lil Wayne came home like jail was a fad,They sold us big iPhones and they called 'em iPad's,And we all got barraged,By the many faces and many voices of Nicki Minaj,Old girl got it in,And before the year was over she was already beefing with Kim,Lindsay Lohan, behind bars,I guess I wasn't supposed to notice that a dancer won Dancing With the Stars,The Census came tryna get the count right,And Paris Hilton, well she got caught with the white,And Petey Pablo need a reverend,Dawg, a gun? in an airport? on 9/11?,Obama still tryna do his thing,They caught T.I. with three pills and sent him back to the bing,Miley Cyrus had us at a loss for words,A lot of y'all got addicted to Angry Birds,The miners got freed live on TV,Y'all coulda gave 'em something, maybe a Double Down from KFC,YouTube views, that could get ya some bread,Ask that lil white boy with the real big head,Usher came back, and still claiming king,He signed Justin Bieber though, can you say cha-ching?,Willow whipped her hair, and hit the perfect score,Rather see hers than anybody on Jersey Shore,Republicans, ha, they still tripping,A Wikileak? nah, where I'm from man, we call that snitching,Raz B and Chris Brown they had some words,I got three for Raz B - You got served!,I hear a lot of Rap Ups getting made for real,Ehhh, he's all right, but he's not Skillz,With that being said, I send a R.I.P,To Guru, Gary Coleman and Miss Teena Marie,Apache, Eyedea, and Lena Horne the star,Huddy Combs, Hideo, and Cool DJ Lar,May they all rest in heaven,The Rap Up is wrapped up,I'll catch y'all in 2011",2010 Rap Up,The Rap Up (2002-2012) (10 Year Anniversary),2013
Bo Burnham,"Before YouTube I walked through life,,And now I frolic.,YouTube's been like a father to me,,Except YouTube's not an alcoholic.,Before YouTube, I was just a skinny white kid,,That thought he was funnier and cooler then he actually was.,And now... well, not much has changed but I have a shit-load of money.,Cause YouTube is a place for people to share their ideas.,If by 'people' you mean 13 year old girls,,And by 'ideas' you mean how they love the Jonas Brothers,,I'm just kidding, but let's be honest that's a hefty majority.,And if you don't believe me, well, then you must be a noob.,So welcome to YouTube.,And you don't know what your missing, a-just try searching women kissing,,It's YouTube, it's just what this country's been needing,,A generation of kids who don't waste their time reading.,Am I the only one who thinks that Lisa Nova's hot,,And Chris Crocker's not. No...,He's hotter.,Most of the best YouTubers are either Asian or they're gay,,So there's an untapped YouTube celebrity and his name is George Takei.,And your favorite coat's got a doodoo stain,,I pray to God that that's chocolate rain.,And I find videos of babies laughing a bit intrusive.,Because Barack Obama won the election because of YouTube.,Wait, did I say YouTube, I meant the black vote.,And I think YouTube and Fred are [so cool] [in Fred's voice].,And what the buck will be back in a Jiffy Lube,,So welcome to YouTube,,Welcome to YouTube,,Hey, welcome to YouTube.,I said-a listen and linger,,Charlie the Unicorn bit my finger.,It's YouTube, the impact is evident,,Miss Teen South Carolina just ran for Vice President.,Upload a video, you got nothing to lose,,Except all of your friends.,And the approval of your parents.,Hi, my name is Mary, and I'm 19 years old and I got drunk at a party and I think someone was videotaping it,,But I don't want anyone to see it 'cause I showed half of my boob,,(Sorry, Mary!),Welcome to YouTube.,Say hello to YouTube,,And say goodbye to your college scholarship.,And if your video doesn't appeal to me,,You gotta change the key-word,,Welcome to YouTube,,I said welcome to YouTube.,And it'll keep on going and it'll never stop.,No, until its privatized.",Welcome to YouTube,Bo Burnham,2009
Lil B,"Intro: pussy, ima tell you something... okay... now... when i was a youngin growing up, it wasnt too many suckaz around. as the years went by, nevertheless., more suckaz became... born... now ima tell you this... i'd rather be wit one real muthafucka, than be wit a thousand bitches; a thousand suckaz.,Verse 1: bitch, i got something, to tell ya, riding round wit dope and im looking like a million. bitches on my dick, you can be a pretty bitch, bitch fuck yo money, ima tell you bout the bitch! got this pussy on ME, i can pay the FEE, too many suckaz out i stay low KEY(swagswag). trappin with the mac, im a thug with the strap, Man these bitches on my dick, cuz i look like obama. with that muthafuckin choppa ima show you bout THIS. dope on my WRISTS with a paris hilton CHICK, too beef like munchies, going dumb in the functions... dont give a FUCK! i stay fuckin stuntin, i stay seven hundred... i need a pill to swallow... im a hard pill to swallow.bitch i look like based God! bitch i still got the heater!(I LOOK GREAT!) might catch a fever! bitches at my house and im smoking a cohiba!,Hook: THUG LIFE! x16 WHOADIE IM STRAIGHT! x8,Verse 2: you was at the party! i was at the party! dope in the game, go looking at atari! hot girls told me that im based god, gnarly! bitches on my dick cuz i fuck em in they ass.bitch pay me straight cash... cuz i look so good. its that pretty boy music, fuck a bitch if you could... ima tell you whats good.whoadie.i be poppin pills... whoadie.I DUN MADE A MILL.whoadie.I KEEP IT REAL.whoadie... im like a teacher. whoadie, im the man right now.bruh how you doin? nah lil bruh.im just fine :) you can see the acer.you can see the space, its a DIRTY FUCKIN GAME. ALL THE GOONS KNOW MY NAME! im not the one, ima teach you with the mac... im not the biiiitchhh,(NOPE) im not the faaagettt (NOPE no, im not) this direct english,(yup, yes it is) pay me when you see this, sold out show a hundred grand for the feature!,Hook",Thug Life,Based Jam,2012
Jedi Mind Tricks,"Now everybody tap on this,. exactly what to say,Even when everything is going astray .,We are on the way,. people at your house you keep away,[Jus Allah],I have been to hell before,The friend of the devil I'm Skeletor,Wish I could visit the fellas more,Wish that I could get more bodies through the cellar doors,I am always thinking of others,Should probably think of myself more,But I don't worry 'bout ... and health scores,I'm ... than health stores,I like wars and whores,,...,,Liquors and ...,,Sex, cigarettes and sycamores,Always got one to roll up and one twirled,All about guns and girls,In this underworld,So I got a truck load of guns in a .,But I dont go around shooting ducks and buffalo,I like it when the streets are crowded,I dont think to be discreet about it,Drink a blood, beats a salad,So I got to put a lot of work in,'Cause Im music thirsty again,Now everybody tap on this,. exactly what to say,Even when everything is going astray .,We are on the way,. people at your house you keep away,[Vinnie Paz],I'm shinin' out here, Jedi Mind grindin' out here,I'm from Philly where it's filthy take your diamonds out here,Motherfuckers broke, eating Top Ramin out here,Fuck the police-graff writers is bombin' out here,Ain't nobody better at this fuckin' rhymin' I swear,Any second any minute any time of the year,I remember when there was nothin' but violence out here,Now these faggots rappin' like they (?) out here,I'm about to set the motherfuckin' drama out here,45's, Gabilondo(?), big llama's out here,Everybody think is sweet is now Obama out here,He's the third cousin of Bush, he lyin' out here,You the lamb, I'm the motherfuckin' lion out here,When were y'all when my stepfather dyin' last year,I'm once in a lifetime, Halley's Comet out here,God's and (?) and Moors, we Islamic out here,Now everybody tap on this,. exactly what to say,Even when everything is going astray .,We are on the way,. people at your house you keep away",Chalice,Violence Begets Violence,2011
Diabolic,"Calling all cars,We have an all-points bulletin out for two Caucasian males,The first, R.A. The Rugged Man,The second being, Diabolic,Wanted in connection with a series of bar fights,With outstanding warrants for: Public intoxication,,public urination, disorderly conduct,and generally just fucking up,Over,Yo, better than the best, making a head burst to the best experts,My worst verse is better than your best verse,Compared to me? I'm Rakim and you're Fred Durst,You're a snitch and betrayer, I'm the clip-sprayer,You're a bitch licking popsicles that are dick flavor,I've got a vengeance, I'll murder, leaving you dead and beheaded,I'm leaving more bodies than the 1918 influenza epidemic,Thought you was believing atheism and hating religion,And replacing 'religion' with 'patriotism',I'm murdering and I'm mutilating any peg and a Mason,It's living, it's black, steal our chaos when I break into prison,The bloody ape is arisen I'm the creation of freebase,And in the streets when the police chasing,The track lubricated in Vaseline I'm beat-raping,Filthy rapper that's rapping in pack in the mid when I'm packing the pen,I'm massacring men, I'm hated by Buddhists, Baptists and Catholics and the pope of the Vatican,Hated by Satanist Hindus, hated by Madonna while she's following Kabbalah,I'll slap you up and slam you like Hogan versus Kamala whether Bush or Obama,It's a soap opera, I'm the embodiment of Cold Crush and Bambaataa,You dudes is feminine girly rappers, spitting bitch bars,That ain't spitting, that's your mouth having a vaginal discharge,I'm on a mission like Moses when he was headed to Pharaoh,And I'm more deadly than the murderous hands of Edwin Valero, come on,No one gives a fuck about these scumbags,In Suffolk County and we wear these colors proudly,Coppers need to up the bounty,If these suckers run their mouth we snap and act too fucking rowdy,(Suffolk County that's the place we live),(Ain't nobody stopping this here),(Suffolk County that's the place we live),(You'll get your snotbox bust you press up on this),Here's the plan, steal my brother's van and,Drive it from the motherland with guns in hand,And buck the fans it's summer jam, understand?,But Rugged Man's up in there in a bathrobe and,Underwear, chugging beer grabbing,A fat bitch by her fucking hair yeah yeah,Yeah yeah, we'll have them all running scared,Jumping chairs till they trample every motherfucker there,From the jungle where there's lions, tigers and a bunch of bears,Oh my, most die but he's so high he doesn't care,Was it fair? Probably not, Papi that's just poppycock,I'm lifted like I'm Ivan Drago, Rocky's throwing body shots (Bah!),Karate chop some hottie's twat till it's Mollywhop,Punani popping models running trains like a hobby shop (Choo choo),No lollipop, candy coating shit for cutie pies,Groupie thighs are spread like GYNs and checking UTIs (Ew),I'll make a movie like Sun Doobie if the booty's fly,Suffolk's Most Wanted smoking loosies in a hoopy high,Stupid, yours truly flying over the cuckoo's nest,Hungry like I'm out in Budapest chewing human flesh (Yum),Moving through your set with the same Suffolk squad,Hustle hard, smack a juice head and jack his muscle car (Bitch),Getting drunk in bars, breaking jaws where trouble starts,My train of thoughts stays on course, L-I double R,A couple stars from Stony Brook to Huntington,Running in the spotlight, don't let these motherfuckers in,No one gives a fuck about these scumbags,In Suffolk County and we wear these colors proudly,Coppers need to up the bounty,If these suckers run their mouth we snap and act too fucking rowdy,(Suffolk County that's the place we live),(Ain't nobody stopping this here),(Suffolk County that's the place we live),(You'll get your snotbox bust you press up on this),Officer needs assistance, officer down!,Suspects last seen fleeing south on Route 110 in a stolen police cruiser with their middle fingers out the window screaming, ""Fuck the police!"",Uh, uh, we- we lost them,Uh, awh shit, we lost them,Whereabouts unknown,Ahhh, fuck",Suffolk's Most Wanted,Fightin Words,2014
Ghostface Killah,"If it's a boy his swag and ditty bop'll be just like mine,And if it's a girl, ooh, just like her momma she gon' be so fly,What a joy we made from the love we made, yeah, yeah,Yo, aiyo, I ran up on the corner, poppa warned her like, ""what? "",She pulled her shirt down, smiled, trying to hide her butt,I said, ""Nah, baby girlfriend, you ain't gotta do that"",Hope you ain't the anorexic type trying to lose that"",Us boys like 'em thick, short weaves, curls, braids,I take 'em buck 50, 60 with them thick legs,We can sail it out, five nights, six days,Boat cruise, wardrobe flights, everything's paid,If I'm aggressive just pardon my gangsta,I just wanna get to know you, get to show you,The way I move, that's part of my gangsta,Like art, yo, I can sit you down and paint cha,Plus my stove game's up, no red meat, but having you,In my cipher right now, makes me feel complete,Like a baby going night, night, sucking on his baby bottle,You in a class by yourself, all them chicks follow,If it's a boy his swag and ditty bop'll be just like mine,And if it's a girl, ooh, just like her momma she gon' be so fly,What a joy we made from the love we made, yeah, yeah,Yeah, yo, she cook and clean, matter fact she saved my life,When I'm outdoor, she check and see if I'm alright,I'm okay, babe, how you? "", I'm alright,Just that the baby's kicking, I want some Popeye chicken,And my back kinda hurt from the way I was sitting,Hurry home so you can rub my big belly and kiss it,And I need some, don't be fresh, girl,You know I can't help it, baby, it stay wet, girl,Yeah, that's my joy, love, strawberry shortcake,Leave me weak in the knees where I can't even walk straight,That's the reason why I got two court dates,Grown nigga like me let his thing blaze for that,I was raised in the Stat', that's my word,I pluck something if you fuck with my bat,And my name ring round the way, girl, she the sweetest thing,I love you Starks, writing hearts in between our names,If it's a boy his swag and ditty bop'll be just like mine,And if it's a girl, ooh, just like her momma she gon' be so fly,What a joy we made from the love we made, yeah, yeah,I will be the sweetest thing you've ever known,Like a kiss on a collarbone,I wanna be ya best friend, your homey and your king,And bring to fruition all of your dreams,And so you're having my baby,So stay forever my lady like Jodeci,Now, push, push harder, harder,I'd rather you be wifey than to be a baby father,If it's a boy his swag and ditty bop'll be just like mine,And if it's a girl, ooh, just like her momma she gon' be so fly,What a joy we made from the love we made, yeah, yeah,If it's a boy his swag and ditty bop'll be just like mine,And if it's a girl, ooh, just like her momma she gon' be so fly,What a joy we made from the love we made, yeah, yeah",2getha Baby,Apollo Kids,2010
Wale,"[Chorus: Wale],I call a spade a spade,What you want me to say,,Say I'm destined for fame, well I am very afraid.,Do you know what fame is?,If you did, you wouldn't want to be famous,Everybody finger, point in your direction,Everybody seems to misread every sentence.,Better or worse, the center of attention,Gift and a curse, the center of attention,[Verse 1:],See I wouldn't wish success on my worst foe,You see the devil is alive but he work slow,And yea I should've seen the signs by my first quote,Before you sign, you'll be blind if you've been broke,And true I've seen better times cause I'm getting dough,But my vision has inclined to some Interscope, and it's home,This country has an obsession with celebrity,But who is to blame when we let them in on everything,From B's wedding ring, to beef meddling,Ironic we on air, but they never let us breathe,,We all make mistakes, why you wanna make an issue?,If I don't diss another n-gga you don't get that issue,I don't really get you, see what the problem is,Keeping up with Khloe and Kim, not the Obama'ses,You tryna find where Rihanna is,,To be honest you ain't mindin where Osama is,And it's not a big deal, it's a small affair,F-ck Barack's change, we'd rather talk Milian's hair,And if the sky fall tonight, we all be alright,Just tell us where all the stars is,[Chorus],[Verse 2:],Nah, I wouldn't wish fame on my enemy.,Paparazzi like a life time sentencing,No comma, no pause, no anything.,Just know fame has a price, lose everything.,DC has never seen such progress,So bitches on the scene seem quite stalkish,They like talking, it's like gossip,How little hugs can turn to draws offered,Though uncalled for, they gon drop them,And your girls cousins tryna get her other options,And now your best friends having kids,They two now, and haven't seen their Godfather yet,Don't let me talk about the deal ones,Mommy found out, I'm paying everybody's bills,Big said it- more money, more ills,So I spend it real fast, cause I'm tryna sit and chiill,A lil, signed, sealed, delivered.,Before a n-gga signed I had a healthier liver,Sh-t, now my lips liquor-ish,As my record label nit-picks at this,,[Chorus]",Center of Attention,Attention Deficit,2009
Brotha Lynch Hung,"[Verse 1:],Mr. Can-opener Mouth,Chew a nigga up quick,I'm a syphilis dick,Nobody can fuck with,Bloody pussy lips,Yes I gotta lick it,I'm coming to your town,Please buy a ticket,Been ripping up guts,But I'm still on this Crip shit,Staying with my motherfucking Season of da Siccness,Kill an infant,[?] an infant,I'm giving you my ten cents,Might have to go kill her because I'm tired of this [?],Run up in your house nigga,,All you hear is click click (boom),Bloody in the asshole,Ripping on you bitches,All of you niggas is listening,But none of y'all niggas gets it,Mr. Diarrhea nigga,,All I do is shit shit,All I do is Crip shit,Pull it out and nut in it,Mannibalector pissing,R Kelly bitches,Body smelling vicious and get to stinking up the kitchen,Must've been fucking a dead body cause my pubic hairs is itching,[Hook],[Verse 2:],I gets to fucking it and cutting it,Cooking it and slicing it,Eating it and shitting it,Season of Da Siccness,I'm red hot,I should make my new name 'Syphilis',Ask her if she ever got cannibal teeth bit in clitoris,I spit venom quick,Black mamba,Giving niggas the siccness 'til I'm dead like my momma,My life's been something like a horror flick drama,So why you think I left a whole family in the sauna?,Body parts looking like spaghetti sauce, comma,No evidence, period,My [?] going to Obama,Mommy you should have left me,Killing's my recipe,Not accessory to,Ran up in you [?],Forehead dot, Hindu,I burn bread nigga,That's why I call it grilled cheese,Put a bitch in the back of the trunk,Roll up a blunt, I call it kill trees,Worse than an alligator attack,Chop em up to alligator soufflé now,Later I put em up in a zip-lock knapsack,I got a body in a knapsack",Body on the Floor,Mannibalector,2013
Juicy J,"Presidential homie got me feelin' like Obama,Ridin' with them llamas got me feelin' like Osama,Yeah I keep it on me nigga, you don't want no drama,I put that on my momma,I put that on my momma,I put that on my momma,Presidential homie got me feelin' like Obama,Ridin' with them llamas got me feelin' like Osama,Ayy, I'm thumbin' through them commas nigga,My bitch look like Rihanna nigga,No DJ 'out no Drama nigga,My young niggas are commin' get'cha,That ain't no threat, it's a promise nigga,And I put that on my momma nigga,I've been runnin' up a check,Jumpin' niggas in the set,Jumpin' niggas out the set,Don't tolerate the disrespect,You gon' end up missin' ex,She try'na fuck me through the text,Told her I don't want the sex,Told her bring me back the check,I don't even want the neck,I'm a dog not a pet,I'mma bring the UZI out,I don't even like the Tech,I'mma grind, I'mma shine all the time, bottom line, remember that,Where I'm from it's all about the dollar sign but you gotta,Presidential homie got me feelin' like Obama,Ridin' with them llamas got me feelin' like Osama,Yeah I keep it on me nigga, you don't want no drama,I put that on my momma,I put that on my momma,I put that on my momma,Presidential homie got me feelin' like Obama,Ridin' with them llamas got me feelin' like Osama,Ain't got no bible but I still got all my blessings though,I'm from the dirty dirty but I'm still a fresh ass dough,She like ""why you always workin'?"", I can't help it hoe,She like ""where your plug from?"" I'm like Mexico,When I'm in the A I'm smokin' on that Texico,She like ""who that?"" that's G-O, he the next to blow,You can't hang with the gang, bitch it's time to go,I can have which one I want like eenie meenie miney moe,Niggas in their feelings and I put that on my momma nigga,And they talkin' millions but can barely touch a comma nigga,You ain't gettin' pussy, you a virgin, no Madonna nigga,You ain't paid your rent, [?] llama nigga,And I put that on my momma nigga,I put that on my momma nigga,Presidential homie got me feelin' like Obama,Ridin' with them llamas got me feelin' like Osama,Yeah I keep it on me nigga, you don't want no drama,I put that on my momma,I put that on my momma,I put that on my momma,Presidential homie got me feelin' like Obama,Ridin' with them llamas got me feelin' like Osama",Feeling Like Obama,Must Be Nice,2016
Lloyd Banks,"I meet my forb at the corner store,Me and niggaz rapping out here, I just want it more,Turn the music down, you can hear my stomach roar,Bagged a hundred bitches last year,Just bagged a hundred more,They hatin' but everything that goes,Comes back sticky green fun pack,Jewellery make me hump back,Back packers want that,And they ain't 'bout the diamonds shit,He gon' commercial,Who the fuck you think you rhyming with?,I got the drama kid and my Obama whip,Bitches running up on my stage, 'lil' mama shit,'Lil' mama thick and my time is slim,Come 'bout thirty minutes after I put the condom in,I'm gettin' to the dough,Louie on my foot,Put the metal to the floor,Is all a nigga know,Payback, don't come around here disrespecting,We don't take that,I'm on my leathers every second,And my hearts so cold and I don't trust a soul,It's funny how the bullshit goes you never know,Payback don't come around here disrespecting,We don't take that,I'm on my leathers every second,They crown me with the punch hat, who better?,I hit red skins, smoke green and spit blue pepper,Benz blue leather, jet cool weather,Cool meaning hot, so I don't need the top,Calm down, breathe and stop,Start and I'ma skip your pulse,Mister, my life's the shit,Calamari shrimp and boats,C-notes, 5 Ferrari, different coast,I'ma suits 'em up, probably ain't gotta lift my toes,I shut my dogs on 'em like Jehova Witness,I done made it to the top like I said,I told you bitches,They don't really want me,They just want my riches,So motherfuck the law,Friends, cousins and sisters,I'm gettin' to the dough,Louie on my foot,Put the metal to the floor,Is all a nigga know,Payback, don't come around here disrespecting,We don't take that,I'm on my leathers every second,And my hearts so cold and I don't trust a soul,Its funny how the bullshit goes you never know,Payback don't come around here disrespecting,We don't take that,I'm on my leathers every second,I turn the club to TV, come dancing with the stars,Than I'm in ya ear, in her ear, amping a ménage,Nigga make the money, but never knew how it felt,In a hundred pair pants, that's a hundred different belts,Dress kills, chronic helps, pussy just for the moment,Ballin' like a Hornet, see I get it, I want it,Everybody knows, heat hurts, she got to show me first,Magician, but I can turn them to a Holy Ghost,You can bring two, three, four of them, the wars won,Tick-tock boom, make 'em all run, come on, son,Big talks just talk, I let my money bark,Put my Ferrari in park, give them a running start,Go, 'cause I don't feel a single drop of pressure,No, he go strap foreign guap collector,He better stop all the hate, he know my ends straight,I clap your girl, make the bed break, leak the sex tape,I'm gettin' to the dough,Louie on my foot,Put the metal to the floor,Is all a nigga know,Payback, don't come around here disrespecting,We don't take that,I'm on my leathers every second,And my hearts so cold and I don't trust a soul,Its funny how the bullshit goes you never know,Payback don't come around here disrespecting,We don't take that,I'm on my leathers every second,I'm gettin' to the dough,Louie on my foot,Put the metal to the floor, is all a nigga know,Payback, don't come around here disrespecting,We don't take that,I'm on my leathers every second,And my hearts so cold and I don't trust a soul,Its funny how the bullshit goes you never know,Payback don't come around here disrespecting,We don't take that,I'm on my leathers every second",Payback,H.F.M. 2 (The Hunger For More 2),2010
Trae tha Truth,"What don't kill me make me stronger.,Preach!,Ya dig? I dig,It's like it's some kimble slice or something like that,To rockin' this knock ok,I come here every time and light their motherfuckin' throat,Rain drops.,Hopin' they'd bury me with ammunitions, weed and shells,Just in case they tribute heaven, ain't no G's in hell,They lock me up for sellin' dope but they move keys as well,I keep my mouth closed cuz after all, who did Jesus tell?,God - that's who I talk to on a daily basis,I put in word for my people but they don't wanna pay me faces,I got patience but I'd lose my blessing if they'd make me chase it,I can see the evil in their eyes, they can't even think their hatred,Death gotta be easy cuz life is hard,Making decisions that drive you crazy if life is involved,Don't owe no money if your husband or your wife is involved,But divine intervention is what Jesus Christ is involved,Question: what is the dollar signs, a snake through sticks?,Trust a snake and get bitten, the sticks that used to beat us,We just givin' game to all the men, women, boys & girls,That's tryna maintain in a fucked up world, that's right.,You already know how they hate me, mane (in this fucked up world),In the world that treat me so cruel (damn, in this fucked up world),Imagine though no matter how hard they'd try (in this fucked up world),I'm a asshole so I do what I do (remember that in this fucked up world),Being full with this, I must confess all the enzone to the stress,A bullet warm to the homie head, died as bits,Going, holding my faith, realized that I'm blessed,God be praised, I get up late before they put me through this,Ain't nothing promised plus it's hard for me to smile knowing this shit hurts,My brother doing life, somehow I feel like this shit don't work,I'm living for today like ain't no place for me tomorrow,Gotta make it if I have to beg or borrow,Go walkin' with the homie late night, hope he forgive me for my sins,Hoping my space ain't occupied to think that I'd get in,These haters got me messed up, I'm livin' with my fist off,If I don't make it home they choose to pick up where I left off,Loyalty and stripes, it ain't a day I take the west off,To stop it they gon have to take my chest off,I never meant to cause drama to my brothers or mama,Even though I feel I'm losing my mind to this fucked up world,You already know how they hate me, mane (in this fucked up world),In the world that treat me so cruel (damn, in this fucked up world),Imagine though no matter how hard they'd try (in this fucked up world),I'm a asshole so I do what I do (remember that in this fucked up world),Shot 'em to death and left for bleedin' for his fan there to see,Less than three months after my Machiavelli deceased,Fuck Gadhafi, I carry on with the weight on my shoulders,So the lesson's count my blessings, now I'm leading the soldiers,ABN outlaws, got my H Town niggas,Got my weight up with my hapers, paying back - now I'm bigger,Still fucking in this game mane, hugging the block,Industry try to black ball us, we remind 'em of Pac,Some of the realest in the game, I'm just statin' the facts,Bear witness, can't you see that we're under attack?,We never meant to cause drama, we just tryna get dollars,I wrote a letter to the president, to Mr. Obama,I ain't seen too much change, feel like shit getting worse,I try to go to no more funerals, I'm sick of the church,Spit that ghetto gospel, hope for black boys and girls,We outlaws in this fucked up world,In this fucked up world,You already know how they hate me, mane (in this fucked up world),In the world that treat me so cruel (damn, in this fucked up world),Imagine though no matter how hard they'd try (in this fucked up world),I'm a asshole so I do what I do (but remember that in this fucked up world),End",Fucked Up World,Tha Blackprint,2012
DJ Quik,"I don't need nobody, I don't want nobody,I don't care about nobody, that don't care about me,I don't need nobody, I don't want nobody,I don't care about nobody, I just care about me,Ay pimpin, this for that trick mayne,Yeah, the one that laughed at me when I told 'em God was sendin' me a boat, but then he cried when DJ Quik came,A day in the life of a playa name Free,When John Mayer told the world he didn't CARE for me,But look at Obama in the office for the get back, mayne,I believe in takin', go to school and GET that game,Dark brown Cognac to the head,You can't tell me shit, nigga Michael Jackson dead,I only shed my tears when I'm listenin' to ""Off the Wall"",That medicine didn't kill 'em -- y'all did cause y'all talked about him like a dog,No, I ain't pickin' up no girl for no security, Jack,Didn't Paris Hilton finally get her jewelry back?,And Tiger Woods needs some back-up,Boy, don't you ever apologize to no prostitute, now hit the green and tee THAT up,But let a mack get 'er;,'member that sex scene on ""Baby Boy""? I woulda fucked them hoes just like Jack,Now I'mma kiss the ground like a 747 stack,Cause success is the greatest revenge, but it's gon' back,(It's gon' handle what's right, it's so certificate,Then you better believe in me),Yeah, Suga Free the P, man,Pomona style, man have them niggas crackin' up,I don't drink alcohol, but when I do drink I prefer Dos Equis,I don't need nobody, I don't want nobody,I don't care about nobody, I just care about me,Now my life, is backstage, wristbands, flashlights,Then, do the same thing we did last night - Jam,I'm retro Nickelodeon, I'm still all that,I even rock Jermaine just like Mike Jack,Addicted to the night life just like crack,But in the black Mercedes with the ladies in the back,I like to make you brick, it's what makes me tick,The way the team decided by just one kick,Now do the grand slam, damn,Take you back so far, I got you flyin' Pan Am,I get the club packed tight like canned ham,Sealin' all your artists, now pass your exam,Or get down or gon' get it knit up,I got a Quincy Jones in my bones, genes split-up,DJ Quiksta in the center like a pent-up,And I don't break down - I been up,I don't care about nobody, that don't care about me",Nobody,The Book of David,2011
