artist,lyrics,song
Yung Joc,"Dis nigga go by the name of joc (joc?),He resides in collegepark (collegepark cp),But for right now what we gotta do for y'all (what we gonna do),We gotta give y'all a hit (huh),Niggaz in my face,Damn near er' day,Askin a million questions like,Joc where ya stay,Tell 'em collegepark,Where they chop cars,in 20 grand spend a grand at the bar,Just bought a zone jays on my feet,I'm on that patron so get like me,69 cutlass wit the bucket seat,Beat in my trunk ballin just for the freaks,Catch me in the hood posted at the sto,Pistol in my lap on the phone countin dough,If a girl chews let her do her thang,Just like her mama nice ass, nice brain,Er'body love me I'm so fly,Niggaz throw the duces er'time I ride by,I know ya wonder why,I'm so cool,Don't ask me just do what cha do (ok),Meet me in the trap its goin down,Meet me in the mall its goin down,Meet me in the club its goin down,Any where ya meet me guaranteed to go down,Meet me in the trap its goin down,Meet me in the mall its goin down,Meet me in the club its goin down,Any where ya meet me guaranteed to go down,numba 2 do the damn thang,Cubes on my neck pockets full of ben franks,When I'm in the mall hoes just pause,I pop a few tags give me that on the wall,Time to flip the work make the block bump,Boys from the hood call me black Donald Trump,Dope boi magic seven days a week,Numba one record long as Nitti on the beat,Oh I thank they like me betta yet I know,Lights camera action when I walk through the door,Niggaz know my crew we certified stars,Valet in the front 'bout 35 cars,Bitches in the back,Black beamer coups,Girls likin girls time to recruit,If ya got a problem say it to my face,We can knuckle up any time any place,Meet me in the trap its goin down,Meet me in the mall its goin down,Meet me in the club its goin down,Any where ya meet me guaranteed to go down,Meet me in the trap its goin down,Meet me in the mall its goin down,Meet me in the club its goin down,Any where ya meet me guaranteed to go down",It's Goin' Down
Hopsin,"Watch me, (watch me),Watch me, (watch me),Watch, watch,Watch me, (watch me),Watch me, (watch me),Bitch, I'm kickin' through the door!,Let's go! 8-18, H O P,Bet on me, you gon' see,Ain't no thing, bitch, I'm on,Bitch, I'm kickin' through the door!,Yeah, 8-18, H O P,Bet on me, Prodigy,When I hit the track, bitch, I'm gone,I'm gone, I'm gone, I'm gone,Yeah, homie G, the cold emcee,Rollin' deep through your vicinity (yo),I just had an epiphany,I don't know what it did to me,But I'm hopin' the devil doesn't get into me (woah),I'm still a beast whose enemies finna be,Off the chain with a brand new delivery (yeah),Try to get in my way, the feelin' of rage,That sit in my brain, and then I blast you to smithereens,Nigga please, I'll be damned if I'm thrown on the back burner,Fuckin' maniac purgin', a rap server,The cat burglar who be committin' mass murder,That's word to the G.O.D.,Fuckin' the game from the P.O.V.,Niggas beg and they plead on knees,There'll be no peace, the D.O.G., I feed on beats,If niggas wanna die they can lean on me,No Bill Withers, U.P. I done built it up,You wishin' you was on the field with us,I'm the ill nigga, no deal, look at me grill niggas,Fuckin' with me then I will erupt,Still we must remain calm,Napalm in my dang palm,I'm a dark villain like Blade, Spawn or Akon with a cape on,It ain't fun, you can't run,This is the horror flick your life is based on,I ain't gon' say that I'm runnin' shit,That's the shit every rapper say and think about,Nigga, just go in and look at the bank account,I just don't have enough patience to take it out,Niggas is hatin' now, I don't suffer from no paper drought,Always winning's my favorite route,My whole life, I just lay it out,Being around me is a blessing so, boy, you should take a bow,Look!,I'm 'bout to make this bitch jump,(Watch me, watch me, watch me),Take a look, take a look,(Watch me, watch me, watch me),I'm shuttin' shit down,I'm 'bout to make this bitch jump,(Watch me, watch me, watch me),Check me out, check me out,Bitch, I'm kickin' through the door!,Let's go! 8-18, H O P,Bet on me, you gon' see,Ain't no thing, bitch, I'm on,Bitch, I'm kickin' through the door!,Yeah, 8-18, H O P,Bet on me, Prodigy,When I hit the track, bitch, I'm gone,I'm gone, I'm gone, I'm gone,Comin' up, niggas said, ""He can't go far."" (oh shit),I cut through like a relay go-kart (woah),I give it to you like a B-Day postcard,Killin' shit with my nigga DJ Romar (yeah, yeah),You know you made it when they claim you overrated,Flow is slayin', cultivatin',Way way back in the golden ages,Now I got hoes from here to Copenhagen,Like nigga, you don't even know where that's at,Bag back 'cause I'm a class act of Mad Max,A mental hazmat lookin' for a jackass to spaz at,I'm turnin' you niggas into my lab rats,Hashtag, #FuckYouMan,And a dome piece with a nut and a bolt screwed in,Don't care what cult you in,I'm AWOL like I'm D. Trump's new plan,I be givin' you some mo' action, mo' thrashin',Old-fashioned ho slappin', throat slashin',Hittin' you harder than a collision with a semi,The windshield bust and then you're thrown past it,I'm the maniac in yo' attic, nomadic, toe taggin',Ho, that's my dick, you should blow at it!,I don't really give a fuck about your feelings,You can cry me a river 'cause I'm a dog and you know that shit,Clearly there's a devil on my shoulder with an angel,But they don't go back and forth,We are all in agreement in knowin' just what I am rappin' for,Just smashin' whores, give me ass galore,It's all I'm askin', Lord,I can fit the women inside of my black Accord,And we can speed through the night, unless I crash of course,I may need to see a psychiatric ward, so let's go!,I'm 'bout to make this bitch jump,(Watch me, watch me, watch me),Take a look, take a look,(Watch me, watch me, watch me),I'm shuttin' shit down,I'm 'bout to make this bitch jump,(Watch me, watch me, watch me),Check me out, check me out,Bitch, I'm kickin' through the door!,Let's go! 8-18, H O P,Bet on me, you gon' see,Ain't no thing, bitch, I'm on,Bitch, I'm kickin' through the door!,Yeah, 8-18, H O P,Bet on me, Prodigy,When I hit the track, bitch, I'm gone,I'm gone, I'm gone, I'm gone,I'm gone, I'm gone, I'm gone,Yeah, yeah,Nigga, better tell these hoes I'm kickin' through the door!",The Purge
Kalash Criminel,"Sombre depuis la naissance,Et ça s'aggrave à l'adolescence,Les amis proches deviennent des connaissances,À ta carrière : mes condoléances,Tant que j'resterais en vie, Mama sera toujours dans l'opulence,Sur moi tu fais qu'parler, j'espère t'assumeras les conséquences (tah tah tah !),Des mes-ar, d'la guedro, eh mon gars t'en dis trop (Gang),La sauvagerie au micro, ils deviennent tous accros,Mes frères partis trop tôt, j'vous aime vous me manquez,Maintenant ils veulent tous des featurings alors que avant ils s'moquaient,Les rebelles au Nord Kivu, qui les paye ? Qui les finance ?,Ça y est Donald Trump est passé, Marine Le Pen prend la confiance,Liberté, égalité, mixité, c'est ça la France,Et les keufs dans nos quartiers nous traitent de sales noirs ou d'sales arabes,Moi sur l'instru j'kick salement, dans mon délire j'suis seul au monde,J'suis pas venu sur Terre pour faire l'aumône, riche comme le roi Salomon,5 milliards ça me suffit (eh), 5 milliards j'suis ravi (eh),Sarkozy toujours pas en prison pourtant c'est lui qu'a tué Kadhafi,C'est l'euphorie, c'est l'euphorie (R.A.S),C'est l'euphorie, viens même pas réveiller ma folie,Quand j'rap c'est l'euphorie, quand j'kick c'est l'euphorie,J'suis calme, respectueux (eh), mais viens pas réveiller ma folie,C'est l'euphorie, c'est l'euphorie (R.A.S),C'est l'euphorie, viens même pas réveiller ma folie,Quand j'rap c'est l'euphorie, quand j'kick c'est l'euphorie,J'suis calme, respectueux (eh), mais viens pas réveiller ma folie,Hey là c'est le 9.3, on respecte ni la loi ni le règlement,Des potes à la fac, des potes en prison, des potes au régiment,Avec mes sauvages dans les quartiers sensibles, j'suis dans mon élément,Y a même ton assassin le jour de l'enterrement,J'attend que Buldo soit libérable, j'suis haut placé comme un général,C'que j'vais leur faire rest'ra mémorable, Kalash Crimi' t'es incroyable,J'rap simple, efficace, si j'monte le niveau t'vas rien comprendre,T'es plus âgé, moins mâture (eh), et de la vie tu vas rien m'apprendre,La vengeance chez nous c'est 2 mecs en moto, une rafale, semi auto (tah, tah, tah !),(Sauvage, sauvage, sauvage),Et le régime est totalitaire (ouh), avec mes frères toujours solidaire (ouh),Dis leur Stilday on est complémentaire, le premier qui bouge on l'enterre,On arrive trop ssif-ma et le rap français on envahit,On veut tous te voir partir comme le président de mon pays,De retour à Kinshasa, comme un héros je serais accueilli,Dieu est grand, Dieu est grand, et à ses ordres j'obéis,C'est l'euphorie, c'est l'euphorie (R.A.S),C'est l'euphorie, viens même pas réveiller ma folie,Quand j'rap c'est l'euphorie, quand j'kick c'est l'euphorie,J'suis calme, respectueux (eh), mais viens pas réveiller ma folie,C'est l'euphorie, c'est l'euphorie (R.A.S),C'est l'euphorie, viens même pas réveiller ma folie,Quand j'rap c'est l'euphorie, quand j'kick c'est l'euphorie,J'suis calme, respectueux (eh), mais viens pas réveiller ma folie",Euphorie
Kalash Criminel,"R.A.S,La sauvagerie... au micro,Sevran les R,Un regard, on s'est compris, (Hey),Ça y est ton cœur est conquis, (Hey),Famas en treillis kaki, (Gang),Dis-moi juste quel est ton prix,J'rends les michtos folles, au microphone,J'suis méga fort, en punchlines, métaphores,Changement de vision, rafale sur le physio,Dans quel monde nous vivons ? Ça crée la division,L'amour du cash/money fait perdre la raison,En 2017 y'a encore des nègres de maison,J'ai pas pris la grosse tête, (Ah ouais), j'ai pris la cagoule,Rougemont c'est Baltimore, Chicago et Kaboul,Y'a Kendy, M.A.S (Gang), Stilday et Peco (Gang),J'crée des malaises, (Hey),Mets toi sur le té-cô,J'vais tout baiser comme un polygame,J'fréquente des jolies dames,Tu passes du rire aux larmes quand ça vire au drame,Tu rap bien mais... ça manque de contenu,Et l'Occident veut tuer tout un continent (Tah tah tah),T'es pas de chez nous : t'es pas le bienvenu,J'suis mi-homme, mi-monument,Souhaite moi une longue vie, une bonne santé et prospérité, (Hey),C'est pas tes problèmes, ne m'intéresse pas,Mais tu sais dans la vie, j'ai des priorités,Je rêve de villa, de principauté, (Oohh),Je fais la fierté de ma communauté, (Oohh),Allez leur dire : ""Si le rap marche pas, y'a le McDo qui recrute"", (Gang),C'est pour te mettre un penalty, si j'prends du recul, (Pah),Pose toi deux secondes qu'on discute,Oui Obama c'était une carotte mais Donald Trump c'est un fils de pute",Piano sombre
Mert,"Yeah, Bauchtasche, Jogginghose, Boxerschnitt,Spielothek, Minus geh'n, Tipico, Kopf gefickt,Dinger dreh'n, Para zähl'n, Kopfschmerzen, Aspirin,Hab' Termin, fahr' wieder ma' von Dortmund nach Berlin,Konsulat, Nummer zieh'n, bin genervt, Pass verlängern,Freunde helfen, die sich dann hinterher krass verändern,RS6, Nase Flex, Autobahn - volltanken,Instagram, runterscroll'n - wieder alles voll Schlampen,Diskothek, wieder hör'n: „Tut mir leid, du kommst nicht rein."",Spielothek, Automat, Freispiele, kommt nicht rein,Ralph Lauren, Louis V, Hugo Boss, Burberry,Dreißigtausend Euro, abgelehnter Universaldeal,Lächerlich, 30k, AMK, Singlecharts,Block grau, Knockout, Stimmung tot, Himmel schwarz,Gayline, Hundesohn, FaceTime runterhol'n,Alle Leute wissen, wo in mei'm Bezirk die Kunden hol'n,Boxerschnitt,Lifestyle Boxerschnitt,Generation Boxerschnitt,Die Straße hat mein'n Kopf gefickt,Deshalb trag' ich Boxerschnitt,Boxerschnitt (Boxerschnitt, Boxerschnitt),Lifestyle Boxerschnitt (Boxerschnitt, Boxerschnitt),Generation Boxerschnitt (Boxerschnitt, Boxerschnitt),Die Straße hat mein'n Kopf gefickt,Deshalb trag' ich Boxerschnitt (deshalb trag' ich Boxerschnitt),Yeah!,Schlagstock, Schlagring, Butterfly, Pfefferspray,Diss mich, nächster Tag, Rapper tot - RapUpdate,Marlboro, Alkohol, Sonnenbank, Stufe acht,Saunaclub, parallel Perle schreibt: Gute Nacht!,Para yok, mieser Tag, Badscha Kopf, Shishabar,Jeder trinkt, jeder isst, Verlierer bei Fifa zahlt,KiK produziert Killa-M, MukoBeatz,Gangster hin, Gangster her - alles Bluff - YouTube-Beef,Seiten null, Kapitän, Nummer zehn - Lacazette,Undercut, enge Jeans, roter Schuh - ApoRed,Trabzon, Fenerbahçe, Beşiktaş, Galata,Dagi Bee, LionT - Gangbang vor Kamera,Foot Locker, Air Max, Reeboks, Adidas,Jeder zweite Hurensohn läuft rum mit Bodyguards,Vollbild, Pharao, zwei Euro - Book of Ra,Boxerschnitt, Seiten null, Kopf kaputt - ustura,Boxerschnitt,Lifestyle Boxerschnitt,Generation Boxerschnitt,Die Straße hat mein'n Kopf gefickt,Deshalb trag' ich Boxerschnitt,Boxerschnitt (Boxerschnitt, Boxerschnitt),Lifestyle Boxerschnitt (Boxerschnitt, Boxerschnitt),Generation Boxerschnitt (Boxerschnitt, Boxerschnitt),Die Straße hat mein'n Kopf gefickt,Deshalb trag' ich Boxerschnitt (deshalb trag' ich Boxerschnitt),Yeah!,Pitbull, Königskette, Lederjacke, Sonnenbank,Pyramide, Dollarschein, Hurensohn - Donald Trump,Lila Schein, Applestore, KaDeWe, Portemonnaie,CLS, AMG, BMW Sportcoupé,Zwanzig Zoll, Michelin - knallrote Ledersitze,Meine Fresse 4k - zehntausend Megapixel,Jedes meiner Videos ein Blockbuster,AMK, lade nach - KiK noch krasser,Boxerschnitt (Boxerschnitt, Boxerschnitt),Lifestyle Boxerschnitt (Boxerschnitt, Boxerschnitt),Generation Boxerschnitt (Boxerschnitt, Boxerschnitt),Die Straße hat mein'n Kopf gefickt,Deshalb trag' ich Boxerschnitt (deshalb trag' ich Boxerschnitt),Boxerschnitt (Boxerschnitt, Boxerschnitt),Lifestyle Boxerschnitt (Boxerschnitt, Boxerschnitt),Generation Boxerschnitt (Boxerschnitt, Boxerschnitt),Die Straße hat mein'n Kopf gefickt,Deshalb trag' ich Boxerschnitt (deshalb trag' ich Boxerschnitt)",Boxerschnitt
Nas,"42nd street terminal,Yo, yo, I live it and I speak it,My religion is reefer,Big money and the most,Uninhibited freak to sleep with,My visions are realistic,Nothing is figurative,I can wish it into existence,God want this nigga to live,Blunt big as a dread,I get high and forget who bled,Who we stomp-kicked in the head and who we left for dead,Who are you niggas,Why argue niggas,The truth is the truth,I really put my scars on niggas,They wear them lifetime, they tell they hoes, Nas did this,Pointing to they scars like,Right here, baby, really Nas did this,Like a badge of honor, not bragging I'm just honest,War stories we tell them, nothing's realer than karma,Sip prohibition liquor, prohibition whiskey,Rap Jack Dempsey, matte black Bentley, pimply,Shatterin' your silence, passing round the chalice,Due to my Indian ancestry at the weed dispensery,Official kings and gents is who I mix and mingle with,Fuck your ice,I rock rubies, amethyst,I'll fuck your wife cause she a groupie, scandalous,This for my bad hood bitches, ghetto glamorous,Yo, what we talking bout niggas,What we talking bout niggas,This is Nas, what, Nas,What, Nasty, what recollect fucker,At seventeen I made seventeen thousand living in public housing,Integrity intact, repping hard,They asking how he disappear and reappear back on top,Saying Nas must have naked pictures of God or something,To keep winning is my way like Francis,As long as I'm breathing, I'll take chances,A soldier comin' home, twenty years old with no legs,Sayin' there's no sense to cry and complain, just go head,So much to write and say, yo I don't know where to start,So I'll begin with the basics and flow from the heart,I know you think my life is good cause my diamond piece,But my life been good since I started finding peace,I shouldn't even be smiling, I should be angry and depressed,I been rich longer than I been broke, I confess,I started out broke, got rich, lost paper then made it back,Like Trump being up down up, play with cash,My nigga's like a locomotive,Nas, we push it, mush 'em,Queensbridge to Bushwick,Harlem,Bronx,All that,You ain't even supposed to be here,You know where you at,At night, New York, eat a slice too hot,Use my tongue to tear the skin hanging from the roof of my mouth,Shit was felicissimo melting pot, city sweltering hot,Staggering, drunker than those cops that 2Pac shot,I was a crook by the train with that iron thing, concealed,Reaching, soon as I heard them iron wheels screeching,When it came to a halt whoever walked off got caught,Token man safe behind a locked door for sure,Minor thief shit, minor league shit, beasting,Looking for the juks young, but now we older chiefing,In my truck, play The Greatest Adventures of Slick Rick,Bugging on how his imagination was so sick,It's ghetto beef, sinister niggas snicker through yellow teeth,Alcohol aging my niggas faster than felonies,How dare I,Must be, something in the air that corrupts me,Look at my upkeep, owned and sublease,I'm here y'all,This for my trapped in the 90's niggas,For my trapped in the 90's niggas,Ha for y'all niggas",Loco-Motive
21 Savage,"Scrape the corner,Buy a Rover,Crack inside my grandmas sofa,Sunday, family coming over,Move the crack behind the toaster,Carry pistols with no holsters,Trying not to be a poster,You was listening to your coaches,I was listening to the vultures,And I slept with rats and roaches,That's why I don't smoke no roaches,Niggas tryna knock my focus,Wonder why I'm sick of potion,We happy, dog but we ain't jokers,Big bullets, we ain't poking,In that pussy, slow motion,Nigga ain't none of my songs wrote,I'm thinking to myself you ain't gang, nigga, fuck you,Feel like 2Pac, Thug Life, nigga, fuck you,If he had the password to your phone he wouldn't have cuffed you,Dog ass bitch, I knew I never should've trusted you,Hoe stab a nigga in the back like the streets do,Can't believe that you betrayed me, I used to sleep with you,Niggas quick to say they loyal to you, they be see-through,Gang, gang, screaming ""Fuck you, they want to eat you"",My son got asthma, grandma having spasms,Fuck the chatter, he gon' tattle, put 'em on the platter,Snakes plotting on my downfall like I'm hearing rattle,(That fuck nigga gone flop man,21 ain't even no real nigga, fuck that nigga),We sticking to the G code, nigga we ain't beefin' over freak ho's,I hit her on the D low, yeah she like my steelo,That nigga think that he a bullet, don't like credit, Deebow,30-round hangin' out the big Glock,Nigga, no six shots, shootin' 'til the clip stops,You a lil' cat, I'm a big dog,Nigga, when we pullin' up the stick's out,Too much money got 'em pissed off,Nigga, I'ma pull up at yo bitch house,Fuck a niggas bitch to get a kick out it,Nigga pop percs, 'gone get a kick out it,Drinking on syrup with my dick out,Glock-17 with the dick out,I'm thinking to myself you ain't gang, nigga, fuck you,Feel like 2Pac, Thug Life, nigga, fuck you,If he had the password to your phone he wouldn't have cuffed you,Dog ass bitch, I knew I never should've trusted you,Whatchu want, ho, I got whatchu want, ho,Whatchu want, ho, I got whatchu want, ho,Whatchu want, ho, I got whatchu want, ho,Whatchu want, ho, I got whatchu want, ho,I'mma tint, presidential, like I'm Trump though,Secret service shooters, leave 'em niggas slumped, dawg,Denzel, I get surgical with this pump, dawg,Busting down, breaking down, then I put it in a blunt, dawg,Made a mess now, I got 21 washed out,In my face, teetee and taytay in the same count,I was down, bad and now I'm shining like a lamp,You put a ring on her, she ain't nothing but a tramp,The kicked me outta middle school and sent me to the house,We 'bout that gunplay, nigga, motherfuck 'yo count,19, I bought a Cutlass, four 12's and an amp,Beating down Glenwood, nigga, feeling like a champ,Nigga, we ain't takin' no deals,Lil nigga we ain't snitchin', we ain't making no sound,Used to jump niggas, now we jumping in a crowd,Used to make my mama cry, but now I make her proud,I remember rainy days but now she like the sound,I'm thinking to myself you ain't gang, nigga, fuck you,Feel like 2Pac, Thug Life, nigga, fuck you,If he had the password to your phone he wouldn't have cuffed you,Dog ass bitch, I knew I never should've trusted you,Hoe stab a nigga in the back like the streets do,Can't believe that you betrayed me, I used to sleep with you,Niggas quick to say they loyal to you, they be see-through,Gang, gang, screaming ""Fuck you, they want to eat you""",Thug Life
JAY-Z,"[Jay-Z],Uh-huh uhh, uhh, uh-uhh,Uh-huh uhh, uhh, uhh,Whoo! Whoo! Whoo! Whoo!,I, am, back, niggaz,Ha ha ha ha ha. uh-oh, uh-oh - whoo!,Ladies and gentlemen. H, to the Izzo,I wanna thank everybody out there for they purchase,I surely appreciate it - whoo!,What you about to witness is my thoughts,Just my thoughts man - right or wrong,Just what I was feeling at the time, uhh,You ever felt like this, you vibe with me,Walk with a nigga man - just vibe with me,Yo, gather round hustlers that's if you still livin,And get on down, to that ol' Jig rhythm,Here's a couple of jewels to help you get through your bid in prison,A ribbon in the sky, keep your head high,I, Young 'Vito, voice of the young people,Mouthpiece for hustlers I'm back motherfuckers,Your reign on the top was shorter than leprechauns,Y'all can't fuck with Hov', what type of X y'all on?,I got great lawyers for cops so dress warm,Charges don't stick to dude he's teflon,I'm too sexy for jail like I'm Right Said Fred,I'm not guilty, now GIMME back my bread,Mr. District Attorney I'm not sure if they told you,I'm on TV every day, where the fuck could I go to,plus - Hov' don't run, Hov' stand and fight,Hov's a soldier, Hov' been fightin all his life so,What could you do to me? It's not new to me,Sue me; fuck you - what's a couple dollars to me?,But you will respect me, simple as that,Or I got no problem goin back,I'm representin for the seat where Rosa Parks sat,Where Malcolm X was shot, where Martin Luther was popped,So off we go, let the trumpets blow,And hold on, because the driver of the mission is a pro,The ruler's back,Uhh, uh-huh uhh uhh,I, am, BACK, niggaz - whoo! whoo! whoo! whoo!,Yeah, yeah, yeah,Turn the motherfuckin music up,The ruler's back,I, am, back, niggaz,Yeah, geah, yeah, geah, yeah, geah, yeah,Well in these times, well at least to me,There's a lot of rappers out there tryin to sound like Jay-Z,I'll help you out, here's what you do,You gonna need a wide lens cause that's a VERR' big shoe,And you got a couple of +Beans+ and you don't have a +Clue+?,You situation is +Bleek+, I'ma keep it +Rell+ cause,Fuckin with me, you gotta drop +Amil+,Cause if you gonna cop somethin you gotta cop f'real,Don't only talk it, walk like it - from the Bricks to the booth,I can predict the future like Cleo the psychic,You can't date skee-os and wife it (uh-uh),And you can't sell me bullshit, we know the prices,So what your life is? We gon' roll,'til the wheels fall off, y'all muh'fuckers check the tires,Off we go, let the trumpets blow,And hold on, because the driver of that Bentley is a pro,The ruler's back,Uhh, uhh,I, am, back, niggaz,Feels good! Ha,Pah, holla at me!,The ruler's back,Yeah. whoo!,Yeah. yeah. yeah.,Now bounce, c'mon, bounce,Uhh, whoo! Whoo!,Bounce, c'mon, bounce,Uhh, uhh, yeah, yeah,Bounce, c'mon, bounce,Uhh, yeah, just my thoughts ladies and gentlemen,Just what I'm feelin at the time, you know what I mean?,Knahmean? {*music fades w/ ad libs*}",The Ruler's Back
Dire Straits,"You get a shiver in the dark,It's raining in the park but meantime,South of the river you stop and you hold everything,A band is blowing Dixie double four time,You feel alright when you hear that music ring,Well now you step inside but you don't see too many faces,Coming in out of the rain to hear the jazz go down,Competition in other places,Ah but the horns, they blowing that sound,Way on down south, way on down south, London town,You check out Guitar George, he knows all the chords,Mind, he's strictly rhythm, he doesn't want to make it cry or sing,Yes, and an old guitar is all he can afford,When he gets up under the lights to play his thing,And Harry doesn't mind if he doesn't make the scene,He's got a daytime job, he's doing alright,He can play the honky tonk like anything,Saving it up for Friday night,With the Sultans, with the Sultans of Swing,And a crowd of young boys, they're fooling around in the corner,Drunk and dressed in their best brown baggies and their platform soles,They don't give a damn about any trumpet playing band,It ain't what they call rock and roll,Then the Sultans, yeah, the Sultans they play Creole,Creole,And then the man, he steps right up to the microphone,And says at last, just as the time bell rings,""Goodnight, now it's time to go home"",Then he makes it fast with one more thing,""We are the Sultans, we are the Sultans of Swing""",Sultans of Swing
JAY-Z,"[Intro: Threats the Pimp],Yo wassup pimp this Threats,That's right, that's the - the that's, that's threats pimp,And I'm serious about mine, I'm so sin-surr,And I, nigga I'll kill ya, I'll chop ya up,Put ya inside the mattress like drug money nigga,[Intro: Jay-Z],Yeah, I done told you niggaz,9 or 10 times stop fuckin with me,I done told you niggaz,9 albums, stop fuckin with me,I done told you niggaz,The 9 on me, stop fuckin with me,You niggaz must got 9 lives,9th wonder,[Verse One],Put that knife in ya, take a little bit of life from ya,Am I frightenin ya? Shall I continue?,I put the gun to ya, I let it sing you a song,I let it hum to ya, the other one sing along,Now it's a duet, and you wet, when you check out,the technique from the 2 tecs and I don't need two lips,To blow this like a trumpet you dumb shit,This is a un-usual musical I conduc' it,You lookin at the black Warren Buffett so all critics can duck sic,I don't care if you C. Delores Tuck-it,Or you Bill O'Reilly, you only rylin me up,For three years, they had me peein out of a cup,Now they bout to free me up, whatchu think I'm gon' be, what?,Rehabilitated, man I still feel hatred,I'm young black and rich so they wanna strip me naked, but,You never had me like Christina Aguiler-y,But catch me down the Westside, drivin like Halle Berry,Or the FDR, in the seat of my car,Screamin out the sunroof death to y'all,You can't kill me, I live forever through these bars,I put the wolves on ya, I put a price on your head,The whole hood'll want ya, you startin to look like bread,I send them boys at ya, I ain't talkin bout Feds,Nigga them body-snatchers, nigga you heard what I said,[Chorus: Jay-Z],I make 'em wait for you 'til five in the mornin,Put your smarts on the side of your garment,Nigga stop fuckin with me,R. -- I. -- P.,[Interlude: Threats],That's right there nigga, nigga I'm wild,Nigga I keep trash bags with me,Never know when you gotta dump a nigga out,This sin-surr, this some sin-surr SHIT right hurr!,[Verse Two],Grown man I put hands on you,I dig a hole in the desert, they build The Sands on you,Lay out blueprint plans on you,We Rat Pack niggaz, let Sam tap dance on you,Then, I Sinatra shot ya God damn you,... I put the boy in the box like David Blaine,Let the audience watch, it ain't a thang,Y'all wish I was frontin, I George Bush the button,For the oil in you in your car lift up your hood nigga run it,Then lift up your whole hood like you got oil under it,Your boy got the goods y'all don't want nuttin of it,Like, castor oil, I Castor Troy you,Change your face or the bullets change all that for you,... y'all niggaz is targets,Y'all garages for bullets, please don't make me park it,in your upper level, valet a couple strays,from the 38 special, nigga, God bless you,[Chorus],[Interlude: Threats],Yeah I'm threatening ya, YEAH I'm threatening ya!,Who you thank you dealin with?,They call me Threats, nigga I been makin threats,since I been in kindergarten nigga!,Huh, ask about me, see if you ain't heard,[Verse Three],When the gun is tucked, untucked, nigga you dies,like numchuks held by the Jet L-I,I'm the one, thus meanin no one must try,No two, no three, no four, know why?,Because one's four-five might blow yo' high,You ain't gotta go to church to get to know yo' God,It's a match made in heaven when I {*blaow*} 'splay the 7,Put you on the nigga news, UPN at 11,Where you been, you ain't heard, got the word that I'm,{*blaow blaow*} that I'm so sin-surr?,I'm especially Joe Pesci with a grin,I will kill you, commit suicide, and kill you again,That's right,[Chorus],[Outro: Threats],Whattup? Motherfucker I keep three motherfuckers what?,Nigga I'll throw a Molotov cocktail through your momma's momma's house,Nigga wassup? - where everybody live!,Undercover nigga take your teeth out your mouth nigga,Chew your food up and put the shit back in your mouth nigga,and help you swallow,Nigga I take a mop handle off nigga,And sweep nigga - hold on, I'll be - nigga what?",Threat
